id,timestamp,shard,load,expected_end_time,actual_end_time,delay
0,0.1,329,0.022,0.122,0.122,0.0
1,0.105,140,0.015,0.12,0.12,0.0
2,0.13,150,0.029,0.159,0.159,0.0
3,0.175,561,0.03,0.205,0.205,0.0
4,0.225,410,0.541,0.766,0.766,0.0
5,0.32,176,0.042,0.362,0.362,0.0
7,0.325,1,0.218,0.543,0.543,0.0
6,0.325,437,0.184,0.509,0.509,0.0
8,0.33,90,0.311,0.641,0.641,0.0
9,0.34,205,0.091,0.431,0.431,0.0
10,0.385,56,0.077,0.462,0.462,0.0
11,0.405,310,0.002,0.407,0.407,0.0
12,0.51,346,0.001,0.511,0.511,0.0
13,0.56,205,0.104,0.664,0.664,0.0
14,0.65,352,0.862,1.512,1.512,0.0
15,1.185,543,0.1,1.285,1.285,0.0
16,1.51,22,0.101,1.611,1.611,0.0
17,1.56,336,0.026,1.586,1.586,0.0
18,1.565,284,0.893,2.458,2.458,0.0
19,1.69,1,0.003,1.693,1.693,0.0
20,2.26,597,0.241,2.501,2.501,0.0
21,2.55,277,0.399,2.949,2.949,0.0
22,5.005,10,0.532,5.537,5.537,0.0
23,5.005,525,0.217,5.222,5.222,0.0
24,5.015,582,0.006,5.021,5.021,0.0
25,5.025,249,0.71,5.735,5.735,0.0
26,5.03,571,0.001,5.031,5.031,0.0
27,5.04,381,0.086,5.126,5.126,0.0
28,5.045,426,0.068,5.113,5.113,0.0
29,5.05,145,0.004,5.054,5.054,0.0
30,5.055,390,0.498,5.553,5.553,0.0
32,5.06,6,0.071,5.131,5.131,0.0
33,5.075,87,0.028,5.103,5.103,0.0
34,5.08,468,0.003,5.083,5.083,0.0
35,5.085,322,0.803,5.888,5.888,0.0
37,5.11,73,0.441,5.551,5.551,0.0
38,5.115,12,0.129,5.244,5.244,0.0
39,5.14,524,0.456,5.596,5.596,0.0
40,5.145,436,0.904,6.049,6.049,0.0
42,5.175,72,0.04,5.215,5.215,0.0
41,5.175,363,0.158,5.333,5.333,0.0
43,5.18,141,0.095,5.275,5.275,0.0
45,5.185,228,0.289,5.474,5.474,0.0
31,5.222,480,0.402,5.457,5.624,0.167
49,5.23,30,0.334,5.564,5.564,0.0
51,5.235,467,0.193,5.428,5.428,0.0
53,5.255,427,0.182,5.437,5.437,0.0
54,5.26,40,0.077,5.337,5.337,0.0
56,5.29,56,0.136,5.426,5.426,0.0
57,5.3,488,0.002,5.302,5.302,0.0
58,5.34,206,0.923,6.263,6.263,0.0
59,5.375,554,0.226,5.601,5.601,0.0
60,5.39,37,0.042,5.432,5.432,0.0
61,5.405,111,0.232,5.637,5.637,0.0
63,5.485,52,0.0,5.485,5.485,0.0
64,5.5,2,0.041,5.541,5.541,0.0
65,5.505,102,0.003,5.508,5.508,0.0
48,5.541,304,0.223,5.433,5.764,0.331
67,5.545,154,0.0,5.545,5.545,0.0
46,5.551,294,0.011,5.196,5.562,0.366
36,5.553,424,0.003,5.093,5.556,0.463
68,5.565,501,0.267,5.832,5.832,0.0
69,5.57,47,0.106,5.676,5.676,0.0
